negocio,data,modalidade,valor_bruto
bar,2025-03-03,debito,1208.04
bar,2025-03-03,credito_vista,915.64
bar,2025-03-03,credito_4x,454.61
bar,2025-03-04,pix,868.58
bar,2025-03-04,debito,793.66
bar,2025-03-04,credito_vista,680.17
bar,2025-03-04,credito_4x,318.13
bar,2025-03-05,pix,1385.96
bar,2025-03-05,debito,935.79
bar,2025-03-05,credito_vista,1091.97
bar,2025-03-05,credito_4x,419.52
bar,2025-03-06,pix,1597.57
bar,2025-03-06,debito,1369.17
bar,2025-03-06,credito_vista,1193.32
bar,2025-03-06,credito_4x,463.68
bar,2025-03-07,pix,2610.93
bar,2025-03-07,debito,2078.07
bar,2025-03-07,credito_vista,1916.77
bar,2025-03-07,credito_4x,893.57
bar,2025-03-08,pix,2185.14
bar,2025-03-08,debito,2279.06
bar,2025-03-08,credito_vista,2655.44
bar,2025-03-08,credito_4x,1302.96
bar,2025-03-09,pix,1399.46
bar,2025-03-09,debito,1146.48
bar,2025-03-09,credito_vista,748.78
bar,2025-03-09,credito_4x,433.26
bar,2025-03-10,pix,1082.96
bar,2025-03-10,debito,775.88
bar,2025-03-10,credito_vista,876.82
bar,2025-03-10,credito_4x,423.3
bar,2025-03-11,pix,952.29
bar,2025-03-11,debito,853.75
bar,2025-03-11,credito_vista,956.34
bar,2025-03-11,credito_4x,260.77
bar,2025-03-12,pix,1422.39
bar,2025-03-12,debito,987.98
bar,2025-03-12,credito_vista,1002.66
bar,2025-03-12,credito_4x,744.45
bar,2025-03-13,pix,1538.25
bar,2025-03-13,debito,1006.47
bar,2025-03-13,credito_vista,1062.41
bar,2025-03-13,credito_4x,393.44
bar,2025-03-14,pix,1645.62
bar,2025-03-14,debito,1406.69
bar,2025-03-14,credito_vista,1390.1
bar,2025-03-14,credito_4x,643.56
bar,2025-03-15,pix,1676.69
bar,2025-03-15,debito,1730.12
bar,2025-03-15,credito_vista,1497.16
bar,2025-03-15,credito_4x,858.97
bar,2025-03-16,pix,925.03
bar,2025-03-16,debito,898.39
bar,2025-03-16,credito_vista,562.59
bar,2025-03-16,credito_4x,233.84
bar,2025-03-17,pix,1124.48
bar,2025-03-17,debito,969.68
bar,2025-03-17,credito_vista,827.71
bar,2025-03-17,credito_4x,345.09
bar,2025-03-18,pix,1254.9
bar,2025-03-18,debito,929.48
bar,2025-03-18,credito_vista,832.5
bar,2025-03-18,credito_4x,311.42
bar,2025-03-19,pix,995.6
bar,2025-03-19,debito,1312.42
bar,2025-03-19,credito_vista,1220.4
bar,2025-03-19,credito_4x,548.78
bar,2025-03-20,pix,1409.54
bar,2025-03-20,debito,1002.97
bar,2025-03-20,credito_vista,1092.54
bar,2025-03-20,credito_4x,360.9
bar,2025-03-21,pix,2138.97
bar,2025-03-21,debito,1557.77
bar,2025-03-21,credito_vista,1750.77
bar,2025-03-21,credito_4x,1009.33
bar,2025-03-22,pix,2531.59
bar,2025-03-22,debito,2197.29
bar,2025-03-22,credito_vista,2217.22
bar,2025-03-22,credito_4x,668.66
bar,2025-03-23,pix,811.9
bar,2025-03-23,debito,999.15
bar,2025-03-23,credito_vista,791.11
bar,2025-03-23,credito_4x,303.04
bar,2025-03-24,pix,1134.57
bar,2025-03-24,debito,876.98
bar,2025-03-24,credito_vista,882.57
bar,2025-03-24,credito_4x,362.11
bar,2025-03-25,pix,819.78
bar,2025-03-25,debito,748.38
bar,2025-03-25,credito_vista,690.33
bar,2025-03-25,credito_4x,389.02
bar,2025-03-26,pix,1044.05
bar,2025-03-26,debito,822.73
bar,2025-03-26,credito_vista,951.11
bar,2025-03-26,credito_4x,332.73
bar,2025-03-27,pix,941.64
bar,2025-03-27,debito,1145.54
bar,2025-03-27,credito_vista,989.38
bar,2025-03-27,credito_4x,435.06
bar,2025-03-28,pix,1811.45
bar,2025-03-28,debito,1267.15
bar,2025-03-28,credito_vista,907.27
bar,2025-03-28,credito_4x,680.66
bar,2025-03-29,pix,2378.47
bar,2025-03-29,debito,1857.17
bar,2025-03-29,credito_vista,1443.22
bar,2025-03-29,credito_4x,1055.57
bar,2025-03-30,pix,650.71
bar,2025-03-30,debito,875.1
bar,2025-03-30,credito_vista,655.09
bar,2025-03-30,credito_4x,371.95
bar,2025-03-31,pix,863.58
bar,2025-03-31,debito,861.19
bar,2025-03-31,credito_vista,661.47
bar,2025-03-31,credito_4x,365.51
bar,2025-04-01,pix,1326.5
bar,2025-04-01,debito,937.08
bar,2025-04-01,credito_vista,1244.19
bar,2025-04-01,credito_4x,348.83
bar,2025-04-02,pix,1536.74
bar,2025-04-02,debito,991.68
bar,2025-04-02,credito_vista,1112.88
bar,2025-04-02,credito_4x,709.06
bar,2025-04-03,pix,1807.88
bar,2025-04-03,debito,1331.59
bar,2025-04-03,credito_vista,1352.28
bar,2025-04-03,credito_4x,520.46
bar,2025-04-04,pix,2816.9
bar,2025-04-04,debito,1588.52
bar,2025-04-04,credito_vista,1608.07
bar,2025-04-04,credito_4x,840.17
bar,2025-04-05,pix,2535.54
bar,2025-04-05,debito,2127.43
bar,2025-04-05,credito_vista,1722.19
bar,2025-04-05,credito_4x,803.86
bar,2025-04-06,pix,1123.21
bar,2025-04-06,debito,927.76
bar,2025-04-06,credito_vista,808.55
bar,2025-04-06,credito_4x,458.86
bar,2025-04-07,pix,933.07
bar,2025-04-07,debito,763.38
bar,2025-04-07,credito_vista,499.12
bar,2025-04-07,credito_4x,312.95
bar,2025-04-08,pix,1009.71
bar,2025-04-08,debito,988.55
bar,2025-04-08,credito_vista,485.64
bar,2025-04-08,credito_4x,333.43
bar,2025-04-09,pix,1158.22
bar,2025-04-09,debito,807.84
bar,2025-04-09,credito_vista,764.62
bar,2025-04-09,credito_4x,538.32
bar,2025-04-10,pix,1319.55
bar,2025-04-10,debito,1310.88
bar,2025-04-10,credito_vista,926.96
bar,2025-04-10,credito_4x,318.52
bar,2025-04-11,pix,2166.87
bar,2025-04-11,debito,1733.8
bar,2025-04-11,credito_vista,1899.67
bar,2025-04-11,credito_4x,902.5
bar,2025-04-12,pix,1908.05
bar,2025-04-12,debito,1972.8
bar,2025-04-12,credito_vista,1628.56
bar,2025-04-12,credito_4x,520.14
bar,2025-04-13,pix,1029.14
bar,2025-04-13,debito,752.49
bar,2025-04-13,credito_vista,675.13
bar,2025-04-13,credito_4x,422.31
bar,2025-04-14,pix,1099.0
bar,2025-04-14,debito,1149.27
bar,2025-04-14,credito_vista,1046.06
bar,2025-04-14,credito_4x,352.26
bar,2025-04-15,pix,983.91
bar,2025-04-15,debito,988.36
bar,2025-04-15,credito_vista,588.88
bar,2025-04-15,credito_4x,533.48
bar,2025-04-16,pix,1299.28
bar,2025-04-16,debito,1238.02
bar,2025-04-16,credito_vista,988.49
bar,2025-04-16,credito_4x,588.69
bar,2025-04-17,pix,1150.11
bar,2025-04-17,debito,1092.9
bar,2025-04-17,credito_vista,894.01
bar,2025-04-17,credito_4x,422.98
bar,2025-04-18,pix,2101.28
bar,2025-04-18,debito,1794.5
bar,2025-04-18,credito_vista,1427.77
bar,2025-04-18,credito_4x,799.07
bar,2025-04-19,pix,2217.11
bar,2025-04-19,debito,1495.93
bar,2025-04-19,credito_vista,1293.99
bar,2025-04-19,credito_4x,969.1
bar,2025-04-20,pix,810.6
bar,2025-04-20,debito,876.68
bar,2025-04-20,credito_vista,670.77
bar,2025-04-20,credito_4x,535.26
bar,2025-04-21,pix,1282.23
bar,2025-04-21,debito,1029.34
bar,2025-04-21,credito_vista,811.75
bar,2025-04-21,credito_4x,308.36
bar,2025-04-22,pix,892.94
bar,2025-04-22,debito,716.17
bar,2025-04-22,credito_vista,569.87
bar,2025-04-22,credito_4x,239.57
bar,2025-04-23,pix,1292.5
bar,2025-04-23,debito,1042.12
bar,2025-04-23,credito_vista,1044.15
bar,2025-04-23,credito_4x,560.72
bar,2025-04-24,pix,1491.86
bar,2025-04-24,debito,1147.11
bar,2025-04-24,credito_vista,1091.36
bar,2025-04-24,credito_4x,549.31
bar,2025-04-25,pix,1466.85
bar,2025-04-25,debito,1610.84
bar,2025-04-25,credito_vista,1742.07
bar,2025-04-25,credito_4x,349.09
bar,2025-04-26,pix,1559.58
bar,2025-04-26,debito,1518.27
bar,2025-04-26,credito_vista,1189.73
bar,2025-04-26,credito_4x,634.12
bar,2025-04-27,pix,1089.21
bar,2025-04-27,debito,731.4
bar,2025-04-27,credito_vista,695.62
bar,2025-04-27,credito_4x,250.86
bar,2025-04-28,pix,943.58
bar,2025-04-28,debito,723.67
bar,2025-04-28,credito_vista,590.74
bar,2025-04-28,credito_4x,261.1
bar,2025-04-29,pix,984.65
bar,2025-04-29,debito,946.56
bar,2025-04-29,credito_vista,749.27
bar,2025-04-29,credito_4x,352.51
bar,2025-04-30,pix,1044.91
bar,2025-04-30,debito,1032.89
bar,2025-04-30,credito_vista,845.87
bar,2025-04-30,credito_4x,407.27
bar,2025-05-01,pix,1837.31
bar,2025-05-01,debito,1601.61
bar,2025-05-01,credito_vista,1662.08
bar,2025-05-01,credito_4x,521.44
bar,2025-05-02,pix,2268.74
bar,2025-05-02,debito,1915.04
bar,2025-05-02,credito_vista,1478.56
bar,2025-05-02,credito_4x,1005.35
bar,2025-05-03,pix,2422.69
bar,2025-05-03,debito,1869.5
bar,2025-05-03,credito_vista,1600.17
bar,2025-05-03,credito_4x,564.38
bar,2025-05-04,pix,1366.62
bar,2025-05-04,debito,940.26
bar,2025-05-04,credito_vista,754.85
bar,2025-05-04,credito_4x,363.48
bar,2025-05-05,pix,1213.84
bar,2025-05-05,debito,975.54
bar,2025-05-05,credito_vista,749.45
bar,2025-05-05,credito_4x,504.99
bar,2025-05-06,pix,1223.48
bar,2025-05-06,debito,1448.37
bar,2025-05-06,credito_vista,1153.03
bar,2025-05-06,credito_4x,473.03
bar,2025-05-07,pix,1542.8
bar,2025-05-07,debito,1324.15
bar,2025-05-07,credito_vista,1310.5
bar,2025-05-07,credito_4x,372.98
bar,2025-05-08,pix,1405.51
bar,2025-05-08,debito,1281.31
bar,2025-05-08,credito_vista,1391.22
bar,2025-05-08,credito_4x,680.83
bar,2025-05-09,pix,3194.78
bar,2025-05-09,debito,2506.37
bar,2025-05-09,credito_vista,1783.43
bar,2025-05-09,credito_4x,918.33
bar,2025-05-10,pix,2221.15
bar,2025-05-10,debito,1824.79
bar,2025-05-10,credito_vista,1442.83
bar,2025-05-10,credito_4x,755.02
bar,2025-05-11,pix,955.75
bar,2025-05-11,debito,673.65
bar,2025-05-11,credito_vista,760.23
bar,2025-05-11,credito_4x,340.91
bar,2025-05-12,pix,829.32
bar,2025-05-12,debito,782.17
bar,2025-05-12,credito_vista,652.41
bar,2025-05-12,credito_4x,335.06
bar,2025-05-13,pix,976.59
bar,2025-05-13,debito,1000.24
bar,2025-05-13,credito_vista,669.93
bar,2025-05-13,credito_4x,396.27
bar,2025-05-14,pix,996.65
bar,2025-05-14,debito,828.7
bar,2025-05-14,credito_vista,730.66
bar,2025-05-14,credito_4x,348.61
bar,2025-05-15,pix,1527.73
bar,2025-05-15,debito,1476.96
bar,2025-05-15,credito_vista,1079.99
bar,2025-05-15,credito_4x,393.25
bar,2025-05-16,pix,2061.47
bar,2025-05-16,debito,1659.86
bar,2025-05-16,credito_vista,1558.24
bar,2025-05-16,credito_4x,748.47
bar,2025-05-17,pix,1771.62
bar,2025-05-17,debito,1526.02
bar,2025-05-17,credito_vista,1339.9
bar,2025-05-17,credito_4x,721.57
bar,2025-05-18,pix,1094.6
bar,2025-05-18,debito,698.04
bar,2025-05-18,credito_vista,586.71
bar,2025-05-18,credito_4x,168.84
bar,2025-05-19,pix,1290.81
bar,2025-05-19,debito,875.53
bar,2025-05-19,credito_vista,766.03
bar,2025-05-19,credito_4x,212.8
bar,2025-05-20,pix,1279.32
bar,2025-05-20,debito,1086.07
bar,2025-05-20,credito_vista,917.79
bar,2025-05-20,credito_4x,337.2
bar,2025-05-21,pix,1326.36
bar,2025-05-21,debito,1682.44
bar,2025-05-21,credito_vista,1228.88
bar,2025-05-21,credito_4x,495.23
bar,2025-05-22,pix,2051.8
bar,2025-05-22,debito,1672.85
bar,2025-05-22,credito_vista,1259.76
bar,2025-05-22,credito_4x,860.74
bar,2025-05-23,pix,2138.03
bar,2025-05-23,debito,1828.75
bar,2025-05-23,credito_vista,2049.49
bar,2025-05-23,credito_4x,572.5
bar,2025-05-24,pix,1798.15
bar,2025-05-24,debito,1703.29
bar,2025-05-24,credito_vista,1715.92
bar,2025-05-24,credito_4x,606.81
bar,2025-05-25,pix,529.23
bar,2025-05-25,debito,509.19
bar,2025-05-25,credito_vista,590.16
bar,2025-05-25,credito_4x,201.67
bar,2025-05-26,pix,912.09
bar,2025-05-26,debito,713.4
bar,2025-05-26,credito_vista,752.81
bar,2025-05-26,credito_4x,418.19
bar,2025-05-27,pix,1022.34
bar,2025-05-27,debito,578.27
bar,2025-05-27,credito_vista,566.11
bar,2025-05-27,credito_4x,360.43
bar,2025-05-28,pix,998.59
bar,2025-05-28,debito,814.93
bar,2025-05-28,credito_vista,899.19
bar,2025-05-28,credito_4x,343.3
bar,2025-05-29,pix,1011.6
bar,2025-05-29,debito,1109.43
bar,2025-05-29,credito_vista,691.13
bar,2025-05-29,credito_4x,492.98
bar,2025-05-30,pix,1900.69
bar,2025-05-30,debito,1501.23
bar,2025-05-30,credito_vista,1386.08
bar,2025-05-30,credito_4x,644.55
bar,2025-05-31,pix,2427.07
bar,2025-05-31,debito,2242.16
bar,2025-05-31,credito_vista,1846.96
bar,2025-05-31,credito_4x,580.46
bar,2025-06-01,pix,1172.56
bar,2025-06-01,debito,1097.79
bar,2025-06-01,credito_vista,665.97
bar,2025-06-01,credito_4x,409.32
bar,2025-06-02,pix,995.58
bar,2025-06-02,debito,984.23
bar,2025-06-02,credito_vista,776.04
bar,2025-06-02,credito_4x,432.06
bar,2025-06-03,pix,979.51
bar,2025-06-03,debito,815.42
bar,2025-06-03,credito_vista,856.21
bar,2025-06-03,credito_4x,301.43
bar,2025-06-04,pix,1001.14
bar,2025-06-04,debito,865.2
bar,2025-06-04,credito_vista,768.48
bar,2025-06-04,credito_4x,328.87
bar,2025-06-05,pix,1434.45
bar,2025-06-05,debito,1325.16
bar,2025-06-05,credito_vista,983.8
bar,2025-06-05,credito_4x,353.55
bar,2025-06-06,pix,1959.54
bar,2025-06-06,debito,2033.78
bar,2025-06-06,credito_vista,1783.42
bar,2025-06-06,credito_4x,907.64
bar,2025-06-07,pix,3120.59
bar,2025-06-07,debito,3223.78
bar,2025-06-07,credito_vista,2115.67
bar,2025-06-07,credito_4x,938.54
bar,2025-06-08,pix,1179.34
bar,2025-06-08,debito,874.71
bar,2025-06-08,credito_vista,874.01
bar,2025-06-08,credito_4x,382.18
bar,2025-06-09,pix,1280.24
bar,2025-06-09,debito,954.81
bar,2025-06-09,credito_vista,798.53
bar,2025-06-09,credito_4x,688.11
bar,2025-06-10,pix,882.77
bar,2025-06-10,debito,1082.79
bar,2025-06-10,credito_vista,843.6
bar,2025-06-10,credito_4x,402.56
bar,2025-06-11,pix,1073.62
bar,2025-06-11,debito,927.48
bar,2025-06-11,credito_vista,713.5
bar,2025-06-11,credito_4x,223.56
bar,2025-06-12,pix,1096.66
bar,2025-06-12,debito,1032.63
bar,2025-06-12,credito_vista,769.67
bar,2025-06-12,credito_4x,513.05
bar,2025-06-13,pix,1875.23
bar,2025-06-13,debito,1330.64
bar,2025-06-13,credito_vista,1486.01
bar,2025-06-13,credito_4x,729.41
bar,2025-06-14,pix,3756.77
bar,2025-06-14,debito,1886.39
bar,2025-06-14,credito_vista,1683.23
bar,2025-06-14,credito_4x,1519.68
bar,2025-06-15,pix,725.02
bar,2025-06-15,debito,826.87
bar,2025-06-15,credito_vista,782.15
bar,2025-06-15,credito_4x,235.37
bar,2025-06-16,pix,977.66
bar,2025-06-16,debito,1010.93
bar,2025-06-16,credito_vista,801.73
bar,2025-06-16,credito_4x,505.22
bar,2025-06-17,pix,1115.32
bar,2025-06-17,debito,641.43
bar,2025-06-17,credito_vista,624.31
bar,2025-06-17,credito_4x,327.7
bar,2025-06-18,pix,1180.74
bar,2025-06-18,debito,997.19
bar,2025-06-18,credito_vista,1049.92
bar,2025-06-18,credito_4x,814.82
bar,2025-06-19,pix,1595.15
bar,2025-06-19,debito,1161.75
bar,2025-06-19,credito_vista,1016.85
bar,2025-06-19,credito_4x,414.95
bar,2025-06-20,pix,1951.57
bar,2025-06-20,debito,1580.86
bar,2025-06-20,credito_vista,1550.97
bar,2025-06-20,credito_4x,812.43
bar,2025-06-21,pix,2092.7
bar,2025-06-21,debito,1938.39
bar,2025-06-21,credito_vista,1545.83
bar,2025-06-21,credito_4x,1037.34
bar,2025-06-22,pix,937.64
bar,2025-06-22,debito,722.92
bar,2025-06-22,credito_vista,697.8
bar,2025-06-22,credito_4x,264.33
bar,2025-06-23,pix,1112.01
bar,2025-06-23,debito,906.99
bar,2025-06-23,credito_vista,783.75
bar,2025-06-23,credito_4x,296.75
bar,2025-06-24,pix,981.73
bar,2025-06-24,debito,859.78
bar,2025-06-24,credito_vista,740.74
bar,2025-06-24,credito_4x,314.72
bar,2025-06-25,pix,1025.88
bar,2025-06-25,debito,590.41
bar,2025-06-25,credito_vista,623.27
bar,2025-06-25,credito_4x,345.87
bar,2025-06-26,pix,803.77
bar,2025-06-26,debito,829.45
bar,2025-06-26,credito_vista,902.24
bar,2025-06-26,credito_4x,323.12
bar,2025-06-27,pix,1958.15
bar,2025-06-27,debito,1440.1
bar,2025-06-27,credito_vista,1567.7
bar,2025-06-27,credito_4x,565.36
bar,2025-06-28,pix,2929.33
bar,2025-06-28,debito,1971.21
bar,2025-06-28,credito_vista,1517.55
bar,2025-06-28,credito_4x,932.29
bar,2025-06-29,pix,834.88
bar,2025-06-29,debito,691.68
bar,2025-06-29,credito_vista,752.2
bar,2025-06-29,credito_4x,380.57
bar,2025-06-30,pix,910.86
bar,2025-06-30,debito,790.0
bar,2025-06-30,credito_vista,600.03
bar,2025-06-30,credito_4x,247.0
bar,2025-07-01,pix,1250.75
bar,2025-07-01,debito,825.67
bar,2025-07-01,credito_vista,749.96
bar,2025-07-01,credito_4x,712.19
bar,2025-07-02,pix,1695.29
bar,2025-07-02,debito,1293.46
bar,2025-07-02,credito_vista,1178.2
bar,2025-07-02,credito_4x,426.64
bar,2025-07-03,pix,1484.52
bar,2025-07-03,debito,1131.08
bar,2025-07-03,credito_vista,1253.6
bar,2025-07-03,credito_4x,559.99
bar,2025-07-04,pix,2181.96
bar,2025-07-04,debito,1408.89
bar,2025-07-04,credito_vista,1753.13
bar,2025-07-04,credito_4x,790.51
bar,2025-07-05,pix,2348.3
bar,2025-07-05,debito,2706.59
bar,2025-07-05,credito_vista,2006.13
bar,2025-07-05,credito_4x,1340.11
