empresa,data_venda,modalidade,valor_bruto,taxa_hipotetica,parcelas,prazo_primeira_liquidacao_dias
bar,2026-09-07,credito_4x,285.58,0.035,4,30
bar,2026-09-08,pix,1175.57,0.0,1,0
bar,2026-09-08,debito,968.12,0.012,1,1
bar,2026-09-08,credito_vista,898.97,0.025,1,30
bar,2026-09-08,credito_4x,414.91,0.035,4,30
bar,2026-09-09,pix,1097.1,0.0,1,0
bar,2026-09-09,debito,903.49,0.012,1,1
bar,2026-09-09,credito_vista,838.96,0.025,1,30
bar,2026-09-09,credito_4x,387.21,0.035,4,30
bar,2026-09-10,pix,1126.03,0.0,1,0
bar,2026-09-10,debito,927.32,0.012,1,1
bar,2026-09-10,credito_vista,861.08,0.025,1,30
bar,2026-09-10,credito_4x,397.42,0.035,4,30
bar,2026-09-11,pix,2140.85,0.0,1,0
bar,2026-09-11,debito,1763.05,0.012,1,1
bar,2026-09-11,credito_vista,1637.12,0.025,1,30
bar,2026-09-11,credito_4x,755.59,0.035,4,30
bar,2026-09-12,pix,2210.24,0.0,1,0
bar,2026-09-12,debito,1820.2,0.012,1,1
bar,2026-09-12,credito_vista,1690.18,0.025,1,30
bar,2026-09-12,credito_4x,780.09,0.035,4,30
bar,2026-09-13,pix,846.87,0.0,1,0
bar,2026-09-13,debito,697.42,0.012,1,1
bar,2026-09-13,credito_vista,647.61,0.025,1,30
bar,2026-09-13,credito_4x,298.9,0.035,4,30
bar,2026-09-14,pix,1135.38,0.0,1,0
bar,2026-09-14,debito,935.02,0.012,1,1
bar,2026-09-14,credito_vista,868.23,0.025,1,30
bar,2026-09-14,credito_4x,400.72,0.035,4,30
vestuario,2026-06-17,pix,511.01,0.0,1,0
vestuario,2026-06-17,debito,707.55,0.012,1,1
vestuario,2026-06-17,credito_vista,864.79,0.025,1,30
vestuario,2026-06-17,credito_4x,1847.5,0.035,4,30
vestuario,2026-06-18,pix,660.71,0.0,1,0
vestuario,2026-06-18,debito,914.82,0.012,1,1
vestuario,2026-06-18,credito_vista,1118.12,0.025,1,30
vestuario,2026-06-18,credito_4x,2388.7,0.035,4,30
vestuario,2026-06-19,pix,692.93,0.0,1,0
vestuario,2026-06-19,debito,959.45,0.012,1,1
vestuario,2026-06-19,credito_vista,1172.66,0.025,1,30
vestuario,2026-06-19,credito_4x,2505.22,0.035,4,30
vestuario,2026-06-20,pix,763.31,0.0,1,0
vestuario,2026-06-20,debito,1056.88,0.012,1,1
vestuario,2026-06-20,credito_vista,1291.75,0.025,1,30
vestuario,2026-06-20,credito_4x,2759.64,0.035,4,30
vestuario,2026-06-21,pix,282.29,0.0,1,0
vestuario,2026-06-21,debito,390.87,0.012,1,1
vestuario,2026-06-21,credito_vista,477.73,0.025,1,30
vestuario,2026-06-21,credito_4x,1020.6,0.035,4,30
vestuario,2026-06-22,pix,445.26,0.0,1,0
vestuario,2026-06-22,debito,616.52,0.012,1,1
vestuario,2026-06-22,credito_vista,753.52,0.025,1,30
vestuario,2026-06-22,credito_4x,1609.8,0.035,4,30
vestuario,2026-06-23,pix,461.58,0.0,1,0
vestuario,2026-06-23,debito,639.12,0.012,1,1
vestuario,2026-06-23,credito_vista,781.14,0.025,1,30
vestuario,2026-06-23,credito_4x,1668.81,0.035,4,30
vestuario,2026-06-24,pix,646.35,0.0,1,0
vestuario,2026-06-24,debito,894.95,0.012,1,1
vestuario,2026-06-24,credito_vista,1093.82,0.025,1,30
vestuario,2026-06-24,credito_4x,2336.81,0.035,4,30
vestuario,2026-06-25,pix,204.77,0.0,1,0
vestuario,2026-06-25,debito,283.53,0.012,1,1
vestuario,2026-06-25,credito_vista,346.54,0.025,1,30
vestuario,2026-06-25,credito_4x,740.33,0.035,4,30
vestuario,2026-06-26,pix,366.61,0.0,1,0
vestuario,2026-06-26,debito,507.61,0.012,1,1
vestuario,2026-06-26,credito_vista,620.41,0.025,1,30
vestuario,2026-06-26,credito_4x,1325.43,0.035,4,30
vestuario,2026-06-27,pix,524.38,0.0,1,0
vestuario,2026-06-27,debito,726.07,0.012,1,1
vestuario,2026-06-27,credito_vista,887.41,0.025,1,30
vestuario,2026-06-27,credito_4x,1895.84,0.035,4,30
vestuario,2026-06-28,pix,183.49,0.0,1,0
vestuario,2026-06-28,debito,254.07,0.012,1,1
vestuario,2026-06-28,credito_vista,310.53,0.025,1,30
vestuario,2026-06-28,credito_4x,663.4,0.035,4,30
vestuario,2026-06-29,pix,334.38,0.0,1,0
vestuario,2026-06-29,debito,462.99,0.012,1,1
vestuario,2026-06-29,credito_vista,565.88,0.025,1,30
vestuario,2026-06-29,credito_4x,1208.92,0.035,4,30
vestuario,2026-06-30,pix,251.33,0.0,1,0
vestuario,2026-06-30,debito,347.99,0.012,1,1
vestuario,2026-06-30,credito_vista,425.33,0.025,1,30
vestuario,2026-06-30,credito_4x,908.65,0.035,4,30
vestuario,2026-07-01,pix,448.35,0.0,1,0
vestuario,2026-07-01,debito,620.8,0.012,1,1
vestuario,2026-07-01,credito_vista,758.75,0.025,1,30
vestuario,2026-07-01,credito_4x,1620.97,0.035,4,30
vestuario,2026-07-02,pix,468.74,0.0,1,0
vestuario,2026-07-02,debito,649.02,0.012,1,1
vestuario,2026-07-02,credito_vista,793.25,0.025,1,30
vestuario,2026-07-02,credito_4x,1694.66,0.035,4,30
vestuario,2026-07-03,pix,1068.06,0.0,1,0
vestuario,2026-07-03,debito,1478.85,0.012,1,1
vestuario,2026-07-03,credito_vista,1807.49,0.025,1,30
vestuario,2026-07-03,credito_4x,3861.45,0.035,4,30
vestuario,2026-07-04,pix,1289.56,0.0,1,0
vestuario,2026-07-04,debito,1785.55,0.012,1,1
vestuario,2026-07-04,credito_vista,2182.33,0.025,1,30
vestuario,2026-07-04,credito_4x,4662.26,0.035,4,30
vestuario,2026-07-05,pix,235.99,0.0,1,0
vestuario,2026-07-05,debito,326.75,0.012,1,1
vestuario,2026-07-05,credito_vista,399.37,0.025,1,30
vestuario,2026-07-05,credito_4x,853.19,0.035,4,30
vestuario,2026-07-06,pix,424.04,0.0,1,0
vestuario,2026-07-06,debito,587.13,0.012,1,1
vestuario,2026-07-06,credito_vista,717.6,0.025,1,30
vestuario,2026-07-06,credito_4x,1533.05,0.035,4,30
vestuario,2026-07-07,pix,365.56,0.0,1,0
vestuario,2026-07-07,debito,506.16,0.012,1,1
vestuario,2026-07-07,credito_vista,618.64,0.025,1,30
vestuario,2026-07-07,credito_4x,1321.64,0.035,4,30
vestuario,2026-07-08,pix,300.29,0.0,1,0
vestuario,2026-07-08,debito,415.79,0.012,1,1
vestuario,2026-07-08,credito_vista,508.19,0.025,1,30
vestuario,2026-07-08,credito_4x,1085.68,0.035,4,30
vestuario,2026-07-09,pix,559.76,0.0,1,0
vestuario,2026-07-09,debito,775.06,0.012,1,1
vestuario,2026-07-09,credito_vista,947.29,0.025,1,30
vestuario,2026-07-09,credito_4x,2023.76,0.035,4,30
vestuario,2026-07-10,pix,537.6,0.0,1,0
vestuario,2026-07-10,debito,744.36,0.012,1,1
vestuario,2026-07-10,credito_vista,909.78,0.025,1,30
vestuario,2026-07-10,credito_4x,1943.61,0.035,4,30
vestuario,2026-07-11,pix,763.08,0.0,1,0
vestuario,2026-07-11,debito,1056.57,0.012,1,1
vestuario,2026-07-11,credito_vista,1291.37,0.025,1,30
vestuario,2026-07-11,credito_4x,2758.83,0.035,4,30
vestuario,2026-07-12,pix,141.58,0.0,1,0
vestuario,2026-07-12,debito,196.03,0.012,1,1
vestuario,2026-07-12,credito_vista,239.59,0.025,1,30
vestuario,2026-07-12,credito_4x,511.85,0.035,4,30
vestuario,2026-07-13,pix,323.03,0.0,1,0
vestuario,2026-07-13,debito,447.27,0.012,1,1
vestuario,2026-07-13,credito_vista,546.66,0.025,1,30
vestuario,2026-07-13,credito_4x,1167.87,0.035,4,30
vestuario,2026-07-14,pix,425.43,0.0,1,0
vestuario,2026-07-14,debito,589.06,0.012,1,1
vestuario,2026-07-14,credito_vista,719.96,0.025,1,30
vestuario,2026-07-14,credito_4x,1538.1,0.035,4,30
vestuario,2026-07-15,pix,470.91,0.0,1,0
vestuario,2026-07-15,debito,652.02,0.012,1,1
vestuario,2026-07-15,credito_vista,796.92,0.025,1,30
vestuario,2026-07-15,credito_4x,1702.5,0.035,4,30
vestuario,2026-07-16,pix,528.21,0.0,1,0
vestuario,2026-07-16,debito,731.36,0.012,1,1
vestuario,2026-07-16,credito_vista,893.89,0.025,1,30
vestuario,2026-07-16,credito_4x,1909.67,0.035,4,30
vestuario,2026-07-17,pix,411.51,0.0,1,0
vestuario,2026-07-17,debito,569.78,0.012,1,1
vestuario,2026-07-17,credito_vista,696.4,0.025,1,30
vestuario,2026-07-17,credito_4x,1487.76,0.035,4,30
vestuario,2026-07-18,pix,917.91,0.0,1,0
vestuario,2026-07-18,debito,1270.96,0.012,1,1
vestuario,2026-07-18,credito_vista,1553.39,0.025,1,30
vestuario,2026-07-18,credito_4x,3318.61,0.035,4,30
vestuario,2026-07-19,pix,178.89,0.0,1,0
vestuario,2026-07-19,debito,247.69,0.012,1,1
vestuario,2026-07-19,credito_vista,302.73,0.025,1,30
vestuario,2026-07-19,credito_4x,646.74,0.035,4,30
vestuario,2026-07-20,pix,439.31,0.0,1,0
vestuario,2026-07-20,debito,608.28,0.012,1,1
vestuario,2026-07-20,credito_vista,743.45,0.025,1,30
vestuario,2026-07-20,credito_4x,1588.28,0.035,4,30
vestuario,2026-07-21,pix,408.4,0.0,1,0
vestuario,2026-07-21,debito,565.47,0.012,1,1
vestuario,2026-07-21,credito_vista,691.13,0.025,1,30
vestuario,2026-07-21,credito_4x,1476.51,0.035,4,30
vestuario,2026-07-22,pix,301.92,0.0,1,0
vestuario,2026-07-22,debito,418.04,0.012,1,1
vestuario,2026-07-22,credito_vista,510.94,0.025,1,30
vestuario,2026-07-22,credito_4x,1091.55,0.035,4,30
vestuario,2026-07-23,pix,447.3,0.0,1,0
vestuario,2026-07-23,debito,619.33,0.012,1,1
